iter	Passed	Remaining
0	408	407664
1	412	205776
2	415	138080
3	423	105373
4	425	84729
5	428	71027
6	436	61872
7	439	54521
8	440	48516
9	445	44063
10	453	40816
11	457	37662
12	466	35381
13	469	33033
14	474	31156
15	480	29579
16	483	27973
17	489	26691
18	498	25761
19	502	24599
20	546	25484
21	548	24362
22	554	23554
23	557	22664
24	560	21858
25	563	21110
26	567	20464
27	570	19811
28	573	19200
29	583	18861
30	586	18336
31	594	17991
32	597	17520
33	600	17066
34	609	16797
35	637	17071
36	640	16672
37	687	17406
38	694	17124
39	696	16727
40	701	16410
41	704	16065
42	706	15720
43	753	16378
44	773	16416
45	776	16101
46	779	15802
47	783	15538
48	786	15262
49	789	14992
50	791	14735
51	794	14489
52	819	14648
53	835	14645
54	840	14432
55	843	14222
56	846	14007
57	853	13865
58	856	13663
59	859	13464
60	876	13494
61	884	13375
62	888	13217
63	892	13047
64	919	13226
65	920	13028
66	923	12860
67	931	12773
68	946	12775
69	949	12617
70	952	12458
71	954	12304
72	959	12183
73	980	12269
74	983	12125
75	997	12122
76	999	11986
77	1008	11918
78	1009	11772
79	1012	11645
80	1031	11698
81	1035	11587
82	1041	11506
83	1074	11715
84	1077	11599
85	1080	11482
86	1094	11490
87	1098	11386
88	1105	11320
89	1107	11199
90	1111	11103
91	1114	11000
92	1135	11073
93	1138	10972
94	1141	10872
95	1165	10971
96	1167	10871
97	1170	10777
98	1174	10690
99	1178	10603
100	1180	10510
101	1183	10419
102	1222	10647
103	1230	10601
104	1233	10511
105	1236	10425
106	1242	10372
107	1245	10290
108	1249	10212
109	1252	10130
110	1255	10056
111	1258	9977
112	1261	9899
113	1269	9868
114	1273	9797
115	1276	9725
116	1283	9689
117	1286	9618
118	1289	9549
119	1297	9512
120	1299	9443
121	1302	9372
122	1305	9307
123	1308	9245
124	1313	9191
125	1314	9119
126	1317	9055
127	1320	8995
128	1327	8960
129	1329	8898
130	1332	8838
131	1335	8779
132	1338	8722
133	1342	8673
134	1344	8615
135	1346	8554
136	1349	8498
137	1351	8441
138	1369	8482
139	1373	8438
140	1376	8384
141	1378	8331
142	1381	8279
143	1383	8226
144	1387	8181
145	1389	8130
146	1392	8080
147	1395	8031
148	1398	7984
149	1400	7937
150	1404	7894
151	1406	7847
152	1409	7801
153	1411	7755
154	1414	7711
155	1417	7671
156	1420	7628
157	1423	7584
158	1425	7541
159	1428	7498
160	1430	7457
161	1435	7424
162	1437	7383
163	1440	7342
164	1443	7302
165	1445	7262
166	1449	7229
167	1452	7191
168	1454	7153
169	1457	7115
170	1460	7078
171	1462	7041
172	1466	7010
173	1469	6974
174	1471	6937
175	1474	6901
176	1476	6866
177	1481	6839
178	1483	6804
179	1486	6770
180	1488	6736
181	1491	6702
182	1493	6669
183	1497	6639
184	1500	6608
185	1502	6575
186	1505	6543
187	1507	6512
188	1512	6488
189	1514	6456
190	1516	6424
191	1519	6394
192	1521	6363
193	1526	6341
194	1528	6311
195	1531	6282
196	1534	6252
197	1536	6224
198	1539	6195
199	1543	6174
200	1546	6146
201	1548	6118
202	1551	6090
203	1553	6063
204	1557	6041
205	1560	6014
206	1562	5987
207	1565	5961
208	1568	5934
209	1570	5909
210	1573	5884
211	1576	5859
212	1577	5828
213	1580	5803
214	1582	5777
215	1585	5753
216	1587	5727
217	1589	5702
218	1592	5678
219	1594	5653
220	1598	5633
221	1600	5609
222	1603	5585
223	1605	5561
224	1608	5539
225	1612	5522
226	1615	5499
227	1617	5477
228	1620	5454
229	1622	5431
230	1625	5412
231	1628	5390
232	1631	5369
233	1633	5348
234	1636	5328
235	1639	5308
236	1644	5293
237	1647	5273
238	1649	5253
239	1652	5232
240	1655	5213
241	1660	5200
242	1663	5181
243	1665	5161
244	1668	5141
245	1671	5122
246	1675	5108
247	1678	5089
248	1680	5069
249	1682	5046
250	1684	5027
251	1689	5015
252	1693	4999
253	1696	4982
254	1699	4963
255	1702	4946
256	1706	4933
257	1709	4915
258	1712	4898
259	1714	4880
260	1717	4863
261	1722	4852
262	1725	4834
263	1728	4817
264	1730	4800
265	1733	4783
266	1737	4769
267	1740	4753
268	1743	4736
269	1746	4721
270	1750	4709
271	1753	4693
272	1756	4676
273	1758	4660
274	1761	4644
275	1765	4631
276	1768	4616
277	1771	4600
278	1774	4585
279	1777	4569
280	1781	4558
281	1784	4543
282	1787	4527
283	1789	4511
284	1791	4495
285	1794	4480
286	1798	4467
287	1800	4452
288	1803	4436
289	1805	4421
290	1808	4405
291	1812	4395
292	1815	4380
293	1817	4365
294	1820	4350
295	1823	4335
296	1826	4323
297	1829	4309
298	1831	4294
299	1834	4280
300	1836	4265
301	1839	4251
302	1843	4241
303	1846	4227
304	1849	4213
305	1851	4199
306	1854	4185
307	1858	4175
308	1860	4161
309	1863	4147
310	1866	4134
311	1868	4121
312	1872	4109
313	1875	4097
314	1878	4084
315	1881	4072
316	1883	4058
317	1888	4051
318	1891	4038
319	1894	4025
320	1896	4012
321	1899	3999
322	1902	3987
323	1904	3974
324	1907	3962
325	1910	3949
326	1913	3937
327	1915	3924
328	1919	3914
329	1921	3901
330	1924	3889
331	1927	3878
332	1932	3870
333	1934	3858
334	1937	3846
335	1940	3834
336	1943	3822
337	1947	3815
338	1950	3803
339	1953	3791
340	1956	3780
341	1959	3769
342	1963	3761
343	1966	3749
344	1969	3738
345	1972	3727
346	1974	3716
347	1980	3710
348	1982	3698
349	1985	3687
350	1988	3676
351	1991	3665
352	1996	3659
353	1999	3648
354	2002	3637
355	2004	3626
356	2011	3622
357	2014	3612
358	2017	3601
359	2019	3590
360	2021	3578
361	2025	3570
362	2028	3559
363	2030	3547
364	2032	3536
365	2035	3526
366	2037	3514
367	2042	3507
368	2044	3496
369	2047	3485
